"date";"paid_user";"total_revenue";"total_revenue_cash";"churned_user";"net_churn";"returning_user";"churn_ratio";"net_churn_ratio";"LT_based_churn";"LT_based_net_churn";"arpa";"LTV_based_churn";"LTV_based_net_churn";"short_term_churn_count";"short_term_churn_ratio";"mid_term_churn_count";"mid_term_churn_ratio";"long_term_churn_count";"long_term_churn_ratio"
"2017-01-01";34636;454252.240;692209.379;1385;1002;383;4.2402;3.0676;23.58;32.60;13.12;309.30;427.53;384;1.1756;573;1.7543;428;1.3103
"2017-02-01";35279;481459.020;516914.599;1036;680;356;3.0859;2.0255;32.41;49.37;13.65;442.25;673.78;365;1.0872;389;1.1587;282;0.8400
"2017-03-01";36640;506364.220;595909.849;1413;992;421;4.0460;2.8405;24.72;35.21;13.82;341.57;486.53;493;1.4117;565;1.6178;355;1.0165
"2017-04-01";37164;528720.450;573701.749;1287;965;322;3.6265;2.7192;27.57;36.78;14.23;392.30;523.20;486;1.3694;501;1.4117;300;0.8453
"2017-05-01";38104;550481.210;637412.919;1522;1139;383;4.1874;3.1337;23.88;31.91;14.45;345.01;461.02;552;1.5187;605;1.6645;365;1.0042
"2017-06-01";39143;570311.170;739479.719;1627;1286;341;4.3853;3.4662;22.80;28.85;14.57;332.25;420.35;633;1.7061;611;1.6468;383;1.0323
"2017-07-01";39795;589355.990;650007.580;1551;1262;289;4.0986;3.3349;24.40;29.99;14.81;361.34;444.08;559;1.4772;593;1.5670;399;1.0544
"2017-08-01";40720;609425.530;746988.029;1584;1210;374;4.0923;3.1261;24.44;31.99;14.97;365.71;478.75;571;1.4752;610;1.5760;403;1.0412
"2017-09-01";41424;628620.41;677781.729;1529;1101;428;3.8721;2.7882;25.83;35.87;15.18;391.92;544.27;565;1.4308;607;1.5372;357;0.9041
"2017-10-01";42548;655927.949;748009.019;1819;1408;411;4.4961;3.4802;22.24;28.73;15.42;342.88;442.96;649;1.6042;732;1.8093;438;1.0826
"2017-11-01";43474;663283.899;848172.939;1815;1413;402;4.4062;3.4303;22.70;29.15;15.26;346.26;444.78;704;1.7091;714;1.7333;397;0.9638
"2017-12-01";43443;629259.389;1371789.95;2187;1844;343;5.2517;4.4281;19.04;22.58;14.48;275.81;327.11;762;1.8298;841;2.0195;584;1.4024
"2018-01-01";45196;682282.649;1214714.70;1987;1440;547;4.7161;3.4178;21.20;29.26;15.10;320.10;441.69;579;1.3742;825;1.9581;583;1.3837
"2018-02-01";46375;751308.489;801993.399;1531;962;569;3.4956;2.1964;28.61;45.53;16.20;463.47;737.60;631;1.4407;546;1.2466;354;0.8082
"2018-03-01";48426;817439.959;887833.819;1817;1244;573;3.9612;2.7120;25.24;36.87;16.88;426.13;622.42;719;1.5675;667;1.4541;431;0.9396
"2018-04-01";49456;858667.749;912289.600;1840;1344;496;3.9046;2.8520;25.61;35.06;17.36;444.66;608.76;660;1.4006;719;1.5258;461;0.9783
"2018-05-01";50609;903456.419;1024133.99;2149;1592;557;4.4592;3.3034;22.43;30.27;17.85;400.33;540.40;790;1.6393;837;1.7368;522;1.0832
"2018-06-01";50945;932629.749;1035797.15;2000;1616;384;4.1129;3.3232;24.31;30.09;18.31;445.11;550.87;679;1.3963;813;1.6719;508;1.0447
"2018-07-01";52000;966479.659;1106814.09;1944;1444;500;3.9295;2.9188;25.45;34.26;18.59;473.00;636.78;582;1.1764;857;1.7323;505;1.0208
"2018-08-01";53083;1003047.37;1146125.77;1911;1394;517;3.7769;2.7551;26.48;36.30;18.90;500.30;685.85;573;1.1325;841;1.6621;497;0.9823
"2018-09-01";53785;1040735.68;1054439.79;1832;1317;515;3.5557;2.5561;28.12;39.12;19.35;544.20;757.00;602;1.1684;768;1.4906;462;0.8967
"2018-10-01";54703;1061087.79;1131247.89;1975;1491;484;3.7682;2.8448;26.54;35.15;19.40;514.76;681.86;674;1.2860;796;1.5187;505;0.9635
"2018-11-01";55141;1075899.25;1311571.51;1994;1542;452;3.7660;2.9123;26.55;34.34;19.51;518.10;669.97;670;1.2654;843;1.5922;481;0.9085
"2018-12-01";55260;995103.459;2001404.72;2335;1860;475;4.3886;3.4958;22.79;28.61;18.01;410.33;515.12;701;1.3175;956;1.7968;678;1.2743
"2019-01-01";56678;1021189.81;1609512.52;2123;1522;601;3.9583;2.8378;25.26;35.24;18.02;455.18;634.92;599;1.1168;871;1.6240;653;1.2175
